date_time,東ｷｬﾝﾊﾟｽ受電電力量,西ｷｬﾝﾊﾟｽ受電電力量,中地区方面電力量,西地区方面電力量,北地区方面電力量,6号館方面電力量 ,16号館方面電力量,2号館電力量 ,1号館電力量 ,5号館電力量 ,3･7･8号館電力量 ,19･20号館電力量 ,10号館電力量,ｷｬﾝﾊﾟｽﾌﾟﾗｻﾞ･15号館電力量,33号館電力量,17･11号館電力量 ,30･31号館電力量 ,32号館電力量,第一学生ﾎｰﾙ･9号館電力量 ,図書館電力量,図書館新館電力量,21号館電力量,22号館(東)電力量,24号館(総合情報ｾﾝﾀｰ)電力量,23号館(ﾘｻｰﾁｾﾝﾀｰ)電力量,ﾒﾓﾘｱﾙﾎｰﾙ電力量,体育･文化ｾﾝﾀｰ電力量 ,5号館屋外電力量 ,図書館(空調)電力量,22号館(西)電力量,25号館方面電力量,ｸﾞﾗｳﾝﾄﾞ方面電力量 ,70号館方面電力量,50号館方面電力量,50･51号館電力量 ,53号館(地上)電力量,52号館電力量,ﾌﾛﾝﾃｨｱ研究棟電力量,高電圧実験室電力量,体育館電力量,ｸﾞﾗｳﾝﾄﾞ電力量 ,29号館(ｸﾗﾌﾞ･ｻｰｸﾙﾌﾟﾗｻﾞ)電力量,ﾃﾆｽｺｰﾄ電力量,53号館(屋上)電力量,超伝導実験棟電力量,72号館電力量,体育館(空調)電力量,55号館電力量,70･71号館電力量 ,武道体育館電力量,25号館電力量,14号館方面電力量,その他電力量,不言実行館電力量,外気温度,外気湿度
2018-04-01 00:00:00,696,268,221,133,172,10,59,24,4,29,68,34,7,15,50,36,60,24,11,4,7,13,2,28,10,3,30,34,3,1,20,32,11,156,81,50,3,NA,1,0,0,3,0,5,0,0,0,17,12,2,21,24,29,8,26.3,140
2018-04-01 01:00:00,701,268,229,133,171,10,59,24,4,29,73,37,8,17,52,36,60,24,11,5,7,13,3,29,10,4,31,36,3,1,22,34,11,154,80,51,3,NA,1,0,0,4,0,5,0,1,0,17,13,2,22,24,32,8,24.700000000000003,144
2018-04-01 02:00:00,698,266,228,133,173,9,59,23,4,33,72,36,8,15,53,37,60,23,12,4,7,13,3,29,9,4,31,35,3,2,20,32,10,153,80,48,3,NA,1,0,0,4,0,6,0,1,0,17,12,3,21,26,29,8,24,141
2018-04-01 03:00:00,730,263,239,151,169,9,59,37,4,29,72,35,7,15,51,35,59,23,11,5,8,13,3,29,11,4,48,35,3,1,20,33,12,154,83,47,3,NA,1,0,0,4,0,5,0,1,0,17,13,2,19,24,30,10,23.5,133
2018-04-01 04:00:00,718,264,234,152,171,10,58,29,4,29,74,37,8,14,51,35,61,23,11,5,7,13,3,29,10,3,51,35,3,2,19,31,11,153,81,45,3,NA,2,0,0,3,0,6,0,1,0,18,13,3,20,23,29,8,22.8,130
2018-04-01 05:00:00,686,261,233,123,173,10,59,24,5,29,72,42,8,15,52,37,61,23,12,4,8,13,2,29,10,4,20,36,4,1,20,33,11,150,81,46,2,NA,1,0,0,4,0,5,0,0,0,17,12,2,21,24,31,8,22.1,136
2018-04-01 06:00:00,679,279,245,98,174,9,60,28,6,35,75,36,7,18,52,35,61,25,11,5,8,14,3,29,11,5,0,37,3,2,19,33,11,164,96,45,3,NA,1,0,0,4,0,6,0,1,0,17,13,4,20,23,29,7,21.8,138
2018-04-01 07:00:00,665,303,256,81,174,8,59,50,6,30,71,34,9,18,54,32,63,25,12,4,8,13,3,29,11,4,0,34,3,1,18,44,24,165,94,49,3,NA,1,0,0,3,0,5,0,1,0,14,26,5,17,19,38,5,24.6,127
2018-04-01 08:00:00,612,308,231,51,175,6,61,27,7,30,65,35,9,20,55,28,67,25,12,5,7,14,3,29,9,4,0,37,3,2,16,58,19,167,94,46,3,NA,2,0,0,4,0,12,0,1,0,13,21,11,18,17,47,1,28.8,109
2018-04-01 09:00:00,578,307,229,32,173,6,62,25,6,29,62,40,9,18,55,26,67,25,11,5,7,11,3,30,12,3,0,35,4,1,14,54,24,175,94,56,3,NA,1,0,0,4,0,13,0,1,0,10,24,16,14,12,36,0,31.9,104
